:START_ID,:END_ID,:TYPE,weight:float,confidence,label,context_required,source,source_pmids,source_years,n_sources:int
ARDS_POI:01481,ARDS_POI:01981,ASSOCIATION,1.0,5,Intervention,,curated,18191684,2008,1
ARDS_POI:01288,ARDS_POI:01289,NULL,1.0,HIGH,"OR 1.04 (0.73-1.48), p=0.26",delirium-in-critical-illness,curated,30346242,2018,1
ARDS_POI:02889,ARDS_POI:01356,BENEFICIAL,0.98,HIGH,"Mean diff +4.05 days (0.22-8.71), P(MD>=0)=97.9%",critical-illness,curated,18434379,2008,1
ARDS_POI:03016,ARDS_POI:02955,BENEFICIAL,0.98,HIGH,p<0.0001,acute-respiratory-distress-syndrome,curated,8520744,1995,1
ARDS_POI:02008,ARDS_POI:02791,BENEFICIAL,0.97,HIGH,"HR 0.97 (0.95-0.99), ARD -4.0% (-7.2 to -0.8)",acute-lung-injury,curated,22491953,2012,1
ARDS_POI:02542,ARDS_POI:01895,NULL,0.96,HIGH,"RR 1.02 (0.94-1.11), P=0.64",acute-hypoxemic-respiratory-failure,curated,33471452,2021,1
ARDS_POI:02749,ARDS_POI:02791,BENEFICIAL,0.96,HIGH,HR 0.96 (0.94-0.98) per 1-point strength increase,ARDS-survivor,curated,28067712,2017,1
ARDS_POI:03036,ARDS_POI:02636,NULL,0.96,HIGH,"RR 0.96 (0.41-2.26), p=0.93",acute-respiratory-distress,curated,9596317,1998,1
ARDS_POI:02437,ARDS_POI:02440,NULL,0.96,HIGH,"HR 1.03 (0.75-1.40), p=0.96",severe-or-critical-COVID-19,curated,33676590,2021,1
ARDS_POI:02437,ARDS_POI:02440,NULL,0.96,HIGH,"HR 1.14 (0.84-1.54), p=0.34",severe-or-critical-COVID-19,curated,33676590,2021,1
ARDS_POI:02703,ARDS_POI:02705,MECHANISM,0.95,HIGH,APC increased plasma protein C levels (P = 0.002),acute-lung-injury,curated,18565951,2008,1
ARDS_POI:01575,ARDS_POI:02636,BENEFICIAL,0.95,HIGH,"Median 4.5 vs 6 days, p=0.003",respiratory-failure-requiring-mechanical-ventilation,curated,8948561,1996,1
ARDS_POI:02937,ARDS_POI:01895,NULL,0.95,MEDIUM,RR 0.94 (0.67-1.31),acute-hypoxemic-respiratory-failure,curated,30888444,2019,1
ARDS_POI:01784,ARDS_POI:02636,BENEFICIAL,0.95,HIGH,"Median 68h vs 124h, p=0.0001",ICU-setting,curated,10936141,2000,1
ARDS_POI:03011,ARDS_POI:01642,HARMFUL,0.95,HIGH,"Fewer ventilator-free days: 14.0 vs 17.2, p=0.02",acute-lung-injury,curated,21976613,2011,1
ARDS_POI:02578,ARDS_POI:02775,BENEFICIAL,0.95,HIGH,Neuromuscular blockade effectively eliminated breath stacking dyssynchrony,ARDS,curated,27342819,2016,1
