group_id	canonical_label	n_members	confidence	members	action
G0449	Postextubation High-Flow Nasal Oxygen With Noninvasive Ventilation	15	0.667	high-flow oxygen therapy | high-flow nasal oxygen | Nasal high-flow oxygen therapy | Postextubation High-Flow Nasal Oxygen With Noninvasive Ventilation | high-flow nasal cannula oxygen therapy | High-flow nasal cannula oxygen | High-flow oxygen therapy through a nasal cannula | High-flow oxygen therapy through nasal cannula | High-flow nasal oxygen therapy | High-flow nasal oxygen with noninvasive ventilation | High-flow oxygen as initial oxygenation strategy | high-flow nasal cannula oxygen (HFNC) | Nasal high-flow | High flow nasal oxygen and niv | High flow nasal oxygen physiological support	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0450	intubation rate at day 28	2	0.667	intubation rate at day 28 | intubation rate	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0451	lung recruitment maneuver with titrated positive end-expiratory pressure (PEEP)	5	0.667	lung recruitment and titrated PEEP | lung recruitment maneuver with titrated positive end-expiratory pressure (PEEP) | lung recruitment | Lung recruitment maneuver with titrated PEEP | Lung recruitment and titrated Positive End-Expiratory Pressure (PEEP)	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0452	30-day all-cause mortality and severe morbidity	9	0.667	28-day all-cause mortality | 28-day mortality | all-cause mortality | All-cause mortality until 28 days | Reduced 28-day mortality | Reduced 28-day mortality in ARDS | No difference in 28-day mortality | All-cause mortality at 90 days | 30-day all-cause mortality and severe morbidity	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0453	Individualised, perioperative open-lung ventilation strategy during one-lung ventilation	8	0.615	individualised perioperative open-lung approach | individualised, perioperative open-lung ventilation strategy | individualised perioperative open-lung approach (OLA) ventilation | individualised perioperative open-lung ventilation strategy during one-lung ventilation | Individualised perioperative open-lung approach (OLA) | Individualised perioperative open-lung approach (iOLA) during one-lung ventilation | individualised open-lung approach during one-lung ventilation | Individualised, perioperative open-lung ventilation strategy during one-lung ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0454	mortality and postoperative pulmonary complications	9	0.667	postoperative complications | Postoperative Pulmonary Complications | postoperative respiratory complications | mortality and postoperative pulmonary complications | Reduced postoperative pulmonary complications | Reduced postoperative respiratory complications | Incidence of postoperative pulmonary complications | Risk of postoperative respiratory complications | postoperative	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0460	conservative oxygen therapy	2	0.667	conservative oxygen therapy | oxygen therapy	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0462	Intravenous dexamethasone	3	0.667	dexamethasone treatment | Dexamethasone | Intravenous dexamethasone	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0464	driving pressure during lung protective mechanical ventilation	11	0.6	lung-protective ventilation | protective-ventilation strategy | Lung protective mechanical ventilation | driving pressure during lung protective mechanical ventilation | recruitment maneuvers during lung protective ventilation | lung-protective ventilation strategy | Protective mechanical ventilation | Prone positioning, lung-protective ventilation | Intraoperative protective ventilation | Lung-Protective Ventilation With Low Tidal Volumes | lung-protective ventilation strategy using lower tidal volumes	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0467	Reduced endotracheal intubation within 28 days	4	0.6	intubation within 30 days | endotracheal intubation within 30 days | Intubation within 30 days after enrollment | Reduced endotracheal intubation within 28 days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
