poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int
ARDS_POI:01001,dependent-lung-atelectasis-olv-specific,Dependent Lung Atelectasis (Olv Specific),POI_mechanism,biological-process,,,,,,mechanism_node,38065200,1
ARDS_POI:01002,gravity-induced-alveolar-compression,Gravity Induced Alveolar Compression,POI_mechanism,biological-process,,,,,,mechanism_node,7633703|9817720|16618955|12574072|38065200|32479829,6
ARDS_POI:01003,optimal-alveolar-recruitment-pressure,Optimal Alveolar Recruitment Pressure,POI_mechanism,biological-process,,,,,,mechanism_node,7633703|9817720|16618955|11967593|12574072|38065200|19910610|32479829|32697482,9
ARDS_POI:01004,respiratory-system-compliance-optimisation,Respiratory System Compliance Optimisation,POI_mechanism,biological-process,,,,,,mechanism_node,7633703|16618955|17167013|12574072|38065200|32479829|32697482,7
ARDS_POI:01005,postoperative-diaphragmatic-dysfunction,Postoperative Diaphragmatic Dysfunction,POI_mechanism,biological-process,,,,,,mechanism_node,32479829|12574072|38065200|16618955,4
ARDS_POI:01006,dexamethasone-treatment-for-hospitalized-covid-19,dexamethasone treatment for hospitalized COVID-19,POI_intervention,glucocorticoid-drug-therapy,Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.,,DOID:0080600,D059495,C5203912,robot_template_row,32678530,1
ARDS_POI:01007,dexamethasone-treatment-hospitalized-covid19,Dexamethasone treatment for hospitalized COVID-19,POI_intervention,,,,,D003907,C0012634,kg_nodes,32678530,1
ARDS_POI:01008,reduced-28d-mortality-hospitalized-covid19,Reduced 28-day mortality in hospitalized COVID-19,POI_outcome,,,,,D008875,C0221198,kg_nodes,32678530,1
ARDS_POI:01009,hospitalized-covid19,Hospitalized COVID-19,POI_context,,,,,D059495,C5203912,kg_nodes,32678530,1
ARDS_POI:01010,protective-mechanical-ventilation,Protective mechanical ventilation,POI_intervention,lung-protective-ventilation-strategy,"Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.",,DOID:11394,D012128,C0035222,robot_template_row,9449727,1
ARDS_POI:01011,reduced-mortality-28d,Reduced mortality at 28 days,POI_outcome,,,,,,,kg_nodes,9449727|34480127,2
ARDS_POI:01012,higher-rate-weaning-ventilation,Higher rate of weaning from mechanical ventilation,POI_outcome,,,,,,,kg_nodes,9449727,1
ARDS_POI:01013,reduced-barotrauma,Reduced clinical barotrauma,POI_outcome,,,,,D001416,C0005326,kg_nodes,9449727|23497608,2
ARDS_POI:01014,alveolar-collapse-cyclic-reopening,Alveolar collapse and cyclic reopening,POI_mechanism,,,,,,,kg_nodes,9449727|8520744,2
ARDS_POI:01015,alveolar-overdistention,Alveolar overdistention,POI_mechanism,,,,,,,kg_nodes,9449727,1
ARDS_POI:01016,alveolar-injury-perpetuation,Perpetuation of alveolar injury,POI_mechanism,,,,,,,kg_nodes,9449727,1
ARDS_POI:01017,alveolar-collapse-cyclic-reopening-prevention,Prevention of alveolar collapse and cyclic reopening,POI_mechanism,,,,,,,kg_nodes,9449727,1
ARDS_POI:01018,alveolar-overdistention-prevention,Prevention of alveolar overdistention,POI_mechanism,,,,,,,kg_nodes,9449727,1
ARDS_POI:01019,acute-respiratory-distress-syndrome,Acute respiratory distress syndrome,POI_disease,,,,DOID:11394,D012128,C0035222,kg_nodes,11790214|30455077|24102072|25268516|8520744|18270352|33915103|11902249|12163791|14668608|32728965|16783553|24853585|33140180|15329426|9449727|16932229|19325471|8706481|30211618|10075054|14707568|9603111|12441753,24
ARDS_POI:01020,conservative-fluid-management-strategy,Conservative fluid management strategy,POI_intervention,fluid-management-strategy,Conservative fluid management strategy applied for 7 days in patients with acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,16714767,1
ARDS_POI:01021,conservative-fluid-management,Conservative fluid management strategy,POI_intervention,,,,,,,kg_nodes,31258917|16714767,2
ARDS_POI:01022,improved-lung-function,Improved lung function,POI_outcome,,,,,,,kg_nodes,16714767,1
ARDS_POI:01023,reduced-mechanical-ventilation-duration,Reduced mechanical ventilation duration,POI_outcome,,,,,D053941,C0022726,kg_nodes,17426195|16714767,2
ARDS_POI:01024,reduced-icu-stay-duration,Reduced ICU stay duration,POI_outcome,,,,,D007238,C0021313,kg_nodes,16714767,1
