:START_ID,:END_ID,:TYPE,weight:float,confidence,label,context_required,source,source_pmids,source_years,n_sources:int
spontaneous-awakening-trials,spontaneous-breathing-trials,ASSOCIATION,1.0,5,Intervention,,curated,18191684,2008,1
ziprasidone-for-delirium-in-critical-illness,days-alive-without-delirium-or-coma,NULL,1.0,HIGH,"OR 1.04 (0.73-1.48), p=0.26",delirium-in-critical-illness,curated,30346242,2018,1
corticosteroids-treatment-ards,increased-ventilator-free-days,BENEFICIAL,0.98,HIGH,"Mean diff +4.05 days (0.22-8.71), P(MD>=0)=97.9%",critical-illness,curated,18434379,2008,1
new-ventilatory-approach-na,improved-pao2-fio2,BENEFICIAL,0.98,HIGH,p<0.0001,acute-respiratory-distress-syndrome,curated,8520744,1995,1
lung-protective-mechanical-ventilation,improved-2y-survival-ali,BENEFICIAL,0.97,HIGH,"HR 0.97 (0.95-0.99), ARD -4.0% (-7.2 to -0.8)",acute-lung-injury,curated,22491953,2012,1
lower-oxygenation-target-pao2-60mmhg,mortality-90d,NULL,0.96,HIGH,"RR 1.02 (0.94-1.11), P=0.64",acute-hypoxemic-respiratory-failure,curated,33471452,2021,1
muscle-strength-discharge,improved-5y-survival,BENEFICIAL,0.96,HIGH,HR 0.96 (0.94-0.98) per 1-point strength increase,ARDS-survivor,curated,28067712,2017,1
nppv-emergency-department,reduced-intubation-mechanical-ventilation,NULL,0.96,HIGH,"RR 0.96 (0.41-2.26), p=0.93",acute-respiratory-distress,curated,9596317,1998,1
sarilumab-200mg-iv,time-to-2-point-clinical-improvement,NULL,0.96,HIGH,"HR 1.03 (0.75-1.40), p=0.96",severe-or-critical-COVID-19,curated,33676590,2021,1
sarilumab-400mg-iv,time-to-2-point-clinical-improvement,NULL,0.96,HIGH,"HR 1.14 (0.84-1.54), p=0.34",severe-or-critical-COVID-19,curated,33676590,2021,1
activated-protein-c-administration,decreased-plasma-protein-c-levels,MECHANISM,0.95,HIGH,APC increased plasma protein C levels (P = 0.002),acute-lung-injury,curated,18565951,2008,1
daily-screening-trials-spontaneous-breathing,reduced-duration-mechanical-ventilation,BENEFICIAL,0.95,HIGH,"Median 4.5 vs 6 days, p=0.003",respiratory-failure-requiring-mechanical-ventilation,curated,8948561,1996,1
high-flow-nasal-cannula-hfnc,no-difference-in-mortality,NULL,0.95,MEDIUM,RR 0.94 (0.67-1.31),acute-hypoxemic-respiratory-failure,curated,30888444,2019,1
multidisciplinary-ventilator-management-protocol,reduced-duration-mechanical-ventilation,BENEFICIAL,0.95,HIGH,"Median 68h vs 124h, p=0.0001",ICU-setting,curated,10936141,2000,1
n-3-fatty-acid-gamma-linolenic-acid-antioxidant-enteral-supplementation,reduced-ventilator-free-days,HARMFUL,0.95,HIGH,"Fewer ventilator-free days: 14.0 vs 17.2, p=0.02",acute-lung-injury,curated,21976613,2011,1
neuromuscular-blockade,prevention-of-breath-stacking-dyssynchrony,BENEFICIAL,0.95,HIGH,Neuromuscular blockade effectively eliminated breath stacking dyssynchrony,ARDS,curated,27342819,2016,1
new-ventilatory-approach-na,improved-respiratory-compliance,BENEFICIAL,0.95,HIGH,p=0.0018,acute-respiratory-distress-syndrome,curated,8520744,1995,1
new-ventilatory-approach-na,reduced-fio2-time-above-50,BENEFICIAL,0.95,HIGH,p=0.001,acute-respiratory-distress-syndrome,curated,8520744,1995,1
new-ventilatory-approach-na,reduced-fio2-at-day-of-death,BENEFICIAL,0.95,HIGH,p=0.0002,acute-respiratory-distress-syndrome,curated,8520744,1995,1
new-ventilatory-approach-na,improved-weaning-rate,BENEFICIAL,0.95,HIGH,"p=0.014, after correcting APACHE II imbalance",acute-respiratory-distress-syndrome,curated,8520744,1995,1
nippv-for-sars-arf,no-sars-transmission-to-hcw,BENEFICIAL,0.95,HIGH,0/105 HCWs infected,sars,curated,15364765,2004,1
niv-success,reduced-mortality-de-novo,BENEFICIAL,0.95,HIGH,OR 0.05 (95% CI 0.01-0.42),de-novo-acute-respiratory-failure,curated,17019559,2006,1
niv-success,reduced-mortality-cpe-aoc,BENEFICIAL,0.95,HIGH,OR 0.03 (95% CI 0.01-0.24),cardiogenic-pulmonary-edema|acute-on-chronic-respiratory-failure,curated,17019559,2006,1
noninvasive-measurement-indocyanine-green-plasma-disappearance-rate,correlation-invasive-noninvasive-indocyanine-green-pdr,BENEFICIAL,0.95,HIGH,"r = 0.94, p < 0.0001",critically-ill-patients|mechanical-ventilation|stable-hemodynamics,curated,11126271,2000,1
preventive-niv-post-extubation,improved-ventilator-liberation-outcomes,BENEFICIAL,0.95,HIGH,Strong recommendation,critical-illness|mechanical-ventilation,curated,27818331,2017,1
restrictive-oxygen-target-pao2-9-10-kpa,composite-death-or-severe-disability-90d,NULL,0.95,HIGH,"HR 0.95 (0.75-1.21), p=0.69",comatose-survivors-of-cardiac-arrest,curated,36027567,2022,1
scheduled-neuromuscular-blockade,scheduled-eye-care-lubricating-drops-gel-eyelid-closure,BENEFICIAL,0.95,HIGH,Strong recommendation,critical-illness,curated,27755068,2016,1
sepsis-phenotypes,sepsis-phenotype-ards-phenotype-overlap,MECHANISM,0.95,HIGH,Strong concordance between sepsis and ARDS phenotypes (AUC 0.87-0.96),sepsis|ards,curated,37633303,2023,1
80-percent-oxygen-perioperative,no-effect-surgical-site-infection-14d,NULL,0.94,HIGH,"OR 0.94 (0.72-1.22), p=0.64",abdominal-surgery,curated,19826023,2009,1
anakinra-early-treatment-covid19,reduced-worse-clinical-status-who-cps-day28,BENEFICIAL,0.93,HIGH,Adjusted proportional odds 0.36 (95% CI 0.26-0.50),COVID-19,curated,34480127,2021,1
anakinra-early-treatment-covid19,reduced-mortality-28d,BENEFICIAL,0.93,HIGH,"Hazard ratio = 0.45, P = 0.045",COVID-19,curated,34480127,2021,1
anakinra-early-treatment-covid19,shorter-hospital-stay,BENEFICIAL,0.93,HIGH,Shorter hospital stay reported,COVID-19,curated,34480127,2021,1
cisatracurium-besylate-neuromuscular-blockade,no-effect-on-duration-of-mechanical-ventilation,NULL,0.93,HIGH,"MD 0.25 days (-5.48 to 5.99), p=0.93",ards,curated,23497608,2013,1
dedicated-niv-ventilators,reduced-patient-ventilator-asynchrony,BENEFICIAL,0.93,HIGH,"Asynchrony index 0.5% vs 3.7% and 2.0%, p<0.01",noninvasive-ventilation,curated,22406958,2012,1
dexamethasone-treatment-hospitalized-covid19,reduced-28d-mortality-hospitalized-covid19,BENEFICIAL,0.93,HIGH,"RR 0.83 (0.75-0.93), p<0.001",hospitalized-covid19,curated,32678530,2021,1
elevated-interleukin-6,increased-mortality-risk,HARMFUL,0.93,HIGH,OR 1.63 (0.93-1.49) per log-unit increase,acute-lung-injury,curated,15644641,2005,1
high-flow-nasal-cannula-hfnc,reduced-need-for-intubation,BENEFICIAL,0.93,MEDIUM,RR 0.85 (0.74-0.99),acute-hypoxemic-respiratory-failure,curated,30888444,2019,1
high-frequency-oscillation,reduced-mortality,BENEFICIAL,0.93,HIGH,"RR 0.77 (0.61-0.98), P=0.03",acute-lung-injury|ARDS,curated,20483951,2010,1
high-peep-with-recruitment-maneuvers-olv,no-difference-postop-pulmonary-complications,NULL,0.93,HIGH,"RR 1.01 (0.86-1.20), p=0.86",open-abdominal-surgery|general-anesthesia,curated,24894577,2014,1
individualised-ola-iola-one-lung-ventilation,reduced-severe-postoperative-ppcs-7d,BENEFICIAL,0.93,HIGH,"RR 0.39 (0.28-0.56), ARD -9.23%, NNT=11",thoracic surgery|one-lung ventilation|lung resection,curated,38065200,2024,1
individualised-ola-iola-one-lung-ventilation,reduced-severe-ppcs-7d,BENEFICIAL,0.93,HIGH,"RR 0.39 (0.28-0.56), ARD -9.23%, NNT=11",thoracic-surgery|one-lung-ventilation,curated,19762075|12574072|16352797,2009|2003|2005,3
inhaled-nitric-oxide,no-mortality-benefit,NULL,0.93,HIGH,"RR 1.10 (0.94-1.30), p=0.22",ALI|ARDS,curated,17383982,2007,1
introduction-of-medical-emergency-team,reduced-serious-adverse-events-after-major-surgery,BENEFICIAL,0.93,HIGH,"RR 0.422, ARD -57.8%",major-surgery,curated,15071378,2004,1
lower-tidal-volume-ventilation,reduced-hospital-mortality,BENEFICIAL,0.93,MEDIUM,"OR 0.75 (0.58-0.96), p=0.02",ARDS|acute-lung-injury,curated,19841457,2009,1
lung-protective-ventilation-strategy,reduced-major-pulmonary-and-extrapulmonary-complications-7d,BENEFICIAL,0.93,HIGH,"RR 0.40 (0.24-0.68), ARD -17%",major-abdominal-surgery,curated,23902482,2013,1
nasal-high-flow-oxygen-therapy-nhf,reduced-need-for-ventilator-support,BENEFICIAL,0.93,HIGH,"Lower need for any ventilator support (7% vs 35%, p<0.001)",postextubation,curated,25003980,2014,1
nipsv-for-acute-cardiogenic-pulmonary-edema,reduced-intubation-rate,BENEFICIAL,0.93,HIGH,"RR 0.15, ARD -28%",acute-cardiogenic-pulmonary-edema,curated,11191538,2000,1
niv-delivered-by-helmet,reduced-intubation-rate-ards,BENEFICIAL,0.93,HIGH,"Absolute difference -43.3% (95% CI -62.4% to -24.3%), p<0.001",ARDS,curated,27179847,2016,1
non-invasive-ventilation-post-extubation,reduced-respiratory-failure-72h,BENEFICIAL,0.93,HIGH,"OR 5.32 (2.11-13.46), ARD -33%",chronic-respiratory-disorders|hypercapnia,curated,19682735,2009,1
noninvasive-ventilation-niv,decreased-need-for-intubation,BENEFICIAL,0.93,HIGH,"13/51 (25%) vs 28/54 (52%), p=0.010",severe-acute-hypoxemic-respiratory-failure,curated,14500259,2003,1
peak-cough-flow-threshold-160-lmin,successful-extubation-decannulation,BENEFICIAL,0.93,HIGH,43/43 (100%) vs 0/15 (0%) success,neuromuscular-ventilatory-insufficiency,curated,8989078,1996,1
peak-cough-flow-threshold-160-lmin,failed-extubation-decannulation,HARMFUL,0.93,HIGH,15/62 (24%) failures,neuromuscular-ventilatory-insufficiency,curated,8989078,1996,1
protective-mechanical-ventilation,reduced-mortality-28d,BENEFICIAL,0.93,HIGH,"RR 0.53, 38% vs 71%, p<0.001",acute-respiratory-distress-syndrome,curated,9449727,1998,1
protocol-directed-sedation,reduced-duration-mechanical-ventilation,BENEFICIAL,0.93,HIGH,"Median 55.9 hrs vs 117.0 hrs, p=0.008",medical-intensive-care,curated,10628598,1999,1
respiratory-muscle-aid-protocol,reduced-hospitalization-rates,BENEFICIAL,0.93,HIGH,"ARD -9.23 hospitalizations/year, 95% CI -12.55 to -5.92",neuromuscular-disease,curated,11083691,2000,1
target-tidal-volumes-6-ml-kg-predicted-body-weight,reduced-mortality-ards,BENEFICIAL,0.93,HIGH,"RR 0.90 (0.77-1.05), P=0.19",acute-lung-injury|acute-respiratory-distress-syndrome,curated,18270352,2008,1
tofacitinib-treatment-covid-19-pneumonia,reduced-death-or-respiratory-failure-28d,BENEFICIAL,0.93,MEDIUM,"RR 0.63 (0.41-0.97), ARD -10.9%",COVID-19-pneumonia|acute-hospitalization,curated,34133856,2021,1
venovenous-ecmo,reduced-90d-mortality-severe-ards,BENEFICIAL,0.93,HIGH,"RR 0.75 (0.6-0.94), p=0.013",severe-ARDS,curated,33021684,2020,1
venovenous-extracorporeal-membrane-oxygenation-ecmo,reduced-60-day-mortality-ards,BENEFICIAL,0.93,HIGH,"RR 0.73 (0.58-0.92), P=0.008",adult-respiratory-distress-syndrome,curated,30642776,2019,1
adjunctive-corticosteroid-therapy,reduced-time-to-clinical-stability,BENEFICIAL,0.92,HIGH,Mean diff -1.22 days (-2.08 to -0.35),community-acquired-pneumonia,curated,26258555,2015,1
ards-hyperinflammatory-phenotype,higher-mortality-fewer-vfds-fewer-offd,HARMFUL,0.92,HIGH,"Hyperinflammatory subphenotype had higher mortality, fewer ventilator-free days, and fewer organ failure-free days (p<0.007 for all)",acute-respiratory-distress-syndrome,curated,24853585,2014,1
arterial-hyperoxia,increased-in-hospital-mortality,HARMFUL,0.92,HIGH,"aOR 1.21 (1.08-1.37), p=0.001",critical-illness,curated,25855899,2015,1
cisatracurium-besylate-neuromuscular-blockade,reduced-hospital-mortality,BENEFICIAL,0.92,HIGH,"RR 0.72 (0.58-0.91), p=0.005",ards,curated,23497608,2013,1
cisatracurium-besylate-neuromuscular-blockade,no-effect-on-icu-acquired-weakness,NULL,0.92,HIGH,"RR 1.08 (0.83-1.41), p=0.57",ards,curated,23497608,2013,1
conservative-or-deresuscitative-fluid-strategy,no-effect-on-mortality,NULL,0.92,HIGH,RR 0.92 (0.82-1.02),ARDS|sepsis|SIRS,curated,27734109,2017,1
cuff-leak-test,upper-airway-obstruction-diagnosis,DIAGNOSTIC,0.92,HIGH,SROC AUC 0.92 (0.89-0.94),,curated,19399474,2009,1
early-intubation,null-effect-on-mortality,NULL,0.92,HIGH,"RR 1.07 (0.99-1.15), p=0.08",critically-ill-COVID-19,curated,33766109,2021,1
fluid-overload-3d,increased-mortality,HARMFUL,0.92,HIGH,RR 8.83 (4.03-19.33),critical-illness,curated,33009098,2020,1
growth-hormone-administration,increased-in-hospital-mortality,HARMFUL,0.92,HIGH,RR 2.4 (1.6-3.5),critical-illness|prolonged-hospitalization,curated,10477776,1999,1
high-flow-nasal-cannula-oxygen-therapy-postextubation,reduced-reintubation-72h,BENEFICIAL,0.92,HIGH,"ARD -7.2% (95% CI 2.5 to 12.2%), p=0.004",low-risk-extubation,curated,26975498,2016,1
high-flow-nasal-oxygen-and-niv,reduced-reintubation-7d,BENEFICIAL,0.92,HIGH,"RR 0.39 (0.28-0.56), ARD -6.4% (-12.0% to -0.9%)",high-risk-extubation,curated,31577036,2019,1
high-frequency-oscillatory-ventilation-hfov,mortality,NULL,0.92,HIGH,OR 1.15 (0.43-3.10),ards,curated,16137357,2005,1
hypercapnic-acidosis,reduced-28d-mortality-12ml-group,BENEFICIAL,0.92,HIGH,"OR 0.14 (95% CI 0.03-0.70), p=0.016",12mL-kg-tidal-volume,curated,16374149,2006,1
implementation-of-icu-nutrition-management-protocol,increased-enteral-nutrition-use,BENEFICIAL,0.92,HIGH,"OR 2.4 (1.2-5.0), p=0.009",critical-illness,curated,15078758,2004,1
nasal-high-flow-oxygen-therapy-nhf,reduced-oxygen-desaturations,BENEFICIAL,0.92,HIGH,"Fewer oxygen desaturations (40% vs 75%, p<0.001)",postextubation,curated,25003980,2014,1
non-invasive-positive-pressure-ventilation-nppv,reduced-mortality-copd-exacerbation,BENEFICIAL,0.92,HIGH,RR 0.41 (0.26-0.64),respiratory-failure-COPD-exacerbation,curated,12543832,2003,1
non-invasive-positive-pressure-ventilation-nppv,reduced-need-for-intubation-copd-exacerbation,BENEFICIAL,0.92,HIGH,RR 0.42 (0.31-0.59),respiratory-failure-COPD-exacerbation,curated,12543832,2003,1
non-invasive-positive-pressure-ventilation-nppv,reduced-treatment-failure-copd-exacerbation,BENEFICIAL,0.92,HIGH,RR 0.51 (0.38-0.67),respiratory-failure-COPD-exacerbation,curated,12543832,2003,1
obesity-bmi,reduced-mortality-ards,BENEFICIAL,0.92,HIGH,"OR 0.68 (0.57-0.80), p<0.00001",ARDS,curated,28222804,2017,1
once-daily-spontaneous-breathing-trial,increased-successful-weaning-rate,BENEFICIAL,0.92,HIGH,"RR 2.83 vs IMV, RR 2.05 vs PSV",weaning-from-mechanical-ventilation,curated,7823995,1995,1
patient-directed-music-pdm,reduced-anxiety-in-ventilated-patients,BENEFICIAL,0.92,HIGH,"Anxiety 19.5 points lower (95% CI -32.2 to -6.8, p=0.003)",mechanical-ventilation|critical-illness,curated,23689789,2013,1
pes-guided-peep-titration-ards,no-change-28d-mortality-ards,NULL,0.92,HIGH,"Risk difference 1.7% (-11.1% to 14.6%), p=0.92",ards,curated,30776290,2019,1
primary-ml-model,ards-subphenotype-assignment-accuracy,BENEFICIAL,0.92,HIGH,"AUC 0.92 (0.90-0.95) in EARLI, 0.88 (0.84-0.91) in VALID",observational-ARDS-cohorts,curated,35026177,2022,1
resp-score-external-validation-auc,improved-ecmo-survival-prediction,BENEFICIAL,0.92,HIGH,AUC 0.92 (95% CI 0.89-0.97) in 140 patients,severe-acute-respiratory-failure|ECMO-treatment,curated,24693864,2014,1
sarilumab,proportion-alive-at-day-29,NULL,0.92,HIGH,Placebo 92% vs sarilumab 90% alive,severe-or-critical-COVID-19,curated,33676590,2021,1
sepsis-molecular-phenotyping,sepsis-heterogeneity-characterization,BENEFICIAL,0.92,HIGH,"Two sepsis phenotypes identified, p<0.0001",sepsis,curated,37633303,2023,1
high-flow-nasal-oxygen-therapy,reduced-treatment-failure,NULL,0.91,MEDIUM,"RR 0.91 (0.69-1.20), P=0.50",hypoxemic-respiratory-failure-postcardiothoracic-surgery,curated,25980660,2015,1
adjunctive-corticosteroid-therapy,reduced-duration-of-hospitalization,BENEFICIAL,0.9,HIGH,Mean diff -1.00 day (-1.79 to -0.21),community-acquired-pneumonia,curated,26258555,2015,1
bilevel-positive-airway-pressure-bpv-one-lung-ventilation,improved-lung-function-acute-asthma,BENEFICIAL,0.9,HIGH,"80% vs 20% reached 50% FEV1 increase, p=0.006",acute-asthma,curated,12684289,2003,1
breathe-criteria-for-breath-stacking-dyssynchrony,quantification-of-breath-stacking-dyssynchrony,BENEFICIAL,0.9,HIGH,BREATHE identified more high-volume breaths than existing criteria,ARDS,curated,27342819,2016,1
cisatracurium-besylate-neuromuscular-blockade,reduced-barotrauma,BENEFICIAL,0.9,HIGH,"RR 0.43 (0.20-0.90), p=0.02",ards,curated,23497608,2013,1
consensus-training-for-ards-diagnosis,improved-interobserver-agreement,BENEFICIAL,0.9,HIGH,"Raw agreement 0.88-0.94, kappa 0.72-0.88, Phi 0.74-0.89",chest-radiograph-interpretation,curated,10619802,2000,1
corticosteroids,reduced-28d-mortality-ards,BENEFICIAL,0.9,HIGH,"RR 0.82 (0.72-0.95), ARD -8.0% (-12.5% to -2.2%)",ARDS,curated,33876268,2021,1
covid-19-infection,increased-in-hospital-mortality,HARMFUL,0.9,HIGH,RR 2.9 (95% CI 2.8-3.0),COVID-19,curated,33341155,2021,1
cumulative-positive-fluid-balance-3d,increased-mortality,HARMFUL,0.9,HIGH,RR 2.15 (1.51-3.07),critical-illness,curated,33009098,2020,1
daily-screening-trials-spontaneous-breathing,reduced-complications-mechanical-ventilation,BENEFICIAL,0.9,HIGH,"20% vs 41% complications, p=0.001",respiratory-failure-requiring-mechanical-ventilation,curated,8948561,1996,1
elevated-plasma-srage,nonfocal-ards-pattern,BENEFICIAL,0.9,HIGH,"sRAGE levels significantly higher in nonfocal vs. focal ARDS, p<0.001",ards,curated,27018314,2016,1
exogenous-surfactant-protein-c-based,no-survival-benefit-28d,NULL,0.9,HIGH,No significant difference in 28-day mortality or ventilator-free days,acute-respiratory-distress-syndrome,curated,15329426,2004,1
hfnc-apnoeic-oxygenation-niv-preoxygenation,reduced-oxygen-desaturation-intubation,BENEFICIAL,0.9,HIGH,"Lowest SpO2 100% vs 96%, p=0.029",hypoxaemic-respiratory-failure|intubation,curated,27730283,2016,1
high-flow-nasal-cannula-hfnc,reduced-need-for-oxygen-escalation,BENEFICIAL,0.9,MEDIUM,RR 0.71 (0.51-0.98),acute-hypoxemic-respiratory-failure,curated,30888444,2019,1
icu-intubation-bundle-management-protocol,reduced-life-threatening-intubation-complications,BENEFICIAL,0.9,HIGH,"21% vs 34%, p=0.03",ICU-intubation,curated,19921148,2010,1
icu-intubation-bundle-management-protocol,reduced-mild-moderate-intubation-complications,BENEFICIAL,0.9,HIGH,"9% vs 21%, p=0.01",ICU-intubation,curated,19921148,2010,1
ivc-diameter-respiratory-variation,fluid-responsiveness-prediction,BENEFICIAL,0.9,HIGH,Strong correlation (r=0.9) with fluid responsiveness,acute-lung-injury|sepsis,curated,15034650,2004,1
low-tidal-volume-ventilation,reduced-pulmonary-complications,BENEFICIAL,0.9,HIGH,"Adjusted OR 0.72 (0.52-0.98), p=0.042",non-ARDS-patients,curated,26181219,2015,1
lung-protective-ventilation,null-effect-6ml-group,BENEFICIAL,0.9,HIGH,6 mL/kg prevents ongoing lung injury,6mL-kg-tidal-volume,curated,16374149,2006,1
lung-protective-ventilator-strategy,improved-outcome-ards,BENEFICIAL,0.9,HIGH,"Supported by improved outcome in a single large, prospective trial and a second smaller trial",ARDS,curated,11008997,2000,1
methylprednisolone-infusion,reduced-ards-severity-by-day-7,BENEFICIAL,0.9,HIGH,"1-point LIS reduction 69.8% vs 35.7%, p=0.002",early-severe-ards,curated,17426195,2007,1
methylprednisolone-infusion,reduced-mechanical-ventilation-duration,BENEFICIAL,0.9,HIGH,p=0.002,early-severe-ards,curated,17426195,2007,1
morbid-obesity-bmi,reduced-mortality-ards,BENEFICIAL,0.9,HIGH,"OR 0.72 (0.56-0.93), p=0.01",ARDS,curated,28222804,2017,1
nasal-high-flow-oxygen-therapy-nhf,reduced-reintubation-rate,BENEFICIAL,0.9,HIGH,"Lower reintubation rate (4% vs 21%, p=0.01)",postextubation,curated,25003980,2014,1
niv,reduced-need-for-tracheotomy,BENEFICIAL,0.9,HIGH,"5% vs 59%, p<0.001",persistent-weaning-failure,curated,12689847,2003,1
noninvasive-ventilation-niv,improved-90-day-survival,BENEFICIAL,0.9,HIGH,p=0.025,severe-acute-hypoxemic-respiratory-failure,curated,14500259,2003,1
old-age-70y,increased-mortality-ards,HARMFUL,0.9,HIGH,"HR 2.5 (2.0-3.2), 28d survival 50.3% vs 74.6%",critical-care|acute-lung-injury-ARDS,curated,11777361,2002,1
patient-directed-music-pdm,reduced-sedative-exposure-ventilated-patients,BENEFICIAL,0.9,HIGH,Reduced sedation intensity (-0.18 pts/day) and frequency (-0.21 pts/day),mechanical-ventilation|critical-illness,curated,23689789,2013,1
procalcitonin-ards-biomarker,discrimination-septic-nonseptic-ards,BENEFICIAL,0.9,HIGH,"PCT levels significantly higher in septic vs nonseptic ARDS (p<0.0005), no overlap",early-ards,curated,10548201,1999,1
pulmonary-artery-catheter-pac,increased-iv-vasodilator-use,HARMFUL,0.9,HIGH,"OR 2.35 (1.75-3.15), P<0.001",critical-illness,curated,16204666,2005,1
respiratory-muscle-weakness-guillain-barre,respiratory-failure-guillain-barre,MECHANISM,0.9,HIGH,Proposed: Respiratory muscle weakness leads to respiratory failure in Guillain-Barré,guillain-barre-syndrome,curated,12545029,2003,1
sp02-to-pao2-ratio-correlation,ards-diagnosis-threshold,MECHANISM,0.9,HIGH,S/F ratio of 235 corresponds to P/F ratio of 200 (ARDS),,curated,17573487,2007,1
svc-collapse-measurement,fluid-responsiveness-diagnosis,BENEFICIAL,0.9,HIGH,"36% SVC collapse threshold had 90% sensitivity, 100% specificity for identifying fluid responders",septic-shock|mechanical-ventilation,curated,15375649,2004,1
cpap-plus-oxygen-therapy,improved-mortality,NULL,0.89,HIGH,"31% vs 30%, p=0.89",acute-hypoxemic-nonhypercapnic-respiratory-insufficiency,curated,11066186,2000,1
elevated-interleukin-8,increased-mortality-risk,HARMFUL,0.89,HIGH,OR 1.73 (1.29-2.34) per log-unit increase,acute-lung-injury,curated,15644641,2005,1
high-frequency-oscillation,reduced-treatment-failure,BENEFICIAL,0.89,HIGH,"RR 0.67 (0.46-0.99), P=0.04 for refractory hypoxemia/barotrauma",acute-lung-injury|ARDS,curated,20483951,2010,1
high-frequency-oscillatory-ventilation-hfov,increased-in-hospital-mortality,HARMFUL,0.89,HIGH,"RR 1.33 (1.09-1.64), p=0.005",moderate-severe-ARDS,curated,23339639,2013,1
